name	sample1	sample2	sample3	sample4	sample5	sample6	avgCONTROL	avgTRT
ABHD5	12.3034	12.251	13.5816	11.3999	11.9384	11.4357	12.712000000000002	11.591333333333333
ABHD6	1.20463	0.907725	0.950898	1.80207	1.8967	2.04055	1.0210843333333333	1.9131066666666667
ABHD8	5.3344	6.03101	6.50783	4.53246	4.27568	4.83388	5.957746666666668	4.547340000000001
ABI1	23.6689	21.4112	21.9663	24.2057	23.034	23.8349	22.3488	23.691533333333336
ABI2	6.34027	6.38025	6.77365	7.0192	7.38311	8.09037	6.498056666666667	7.49756
ABL1	37.8532	39.6642	44.2731	47.2503	48.8977	50.7323	40.596833333333336	48.960100000000004
ABL2	4.36387	4.31926	4.48811	4.41758	4.68854	4.7301	4.390413333333334	4.612073333333334
ABLIM3	1.03637	1.03935	1.1596	0.180608	0.053703	0.121478	1.0784399999999998	0.11859633333333335
ABO	10.4924	9.39411	9.83168	7.48473	8.43934	8.31305	9.906063333333334	8.0790400000000009
ABRACL	1.75778	1.81699	1.85943	1.7059	1.66377	1.61018	1.8114	1.65995
ABT1	38.7833	43.212	39.2788	40.9935	36.9913	39.0894	40.4247	39.02473333333334
ACAA1	35.0529	37.5267	35.08	34.9874	33.1404	32.9971	35.88653333333333	33.7083
ACAA2	27.5621	29.0332	27.2768	16.7842	16.0478	16.2839	27.95736666666667	16.371966666666665
ACACA	10.9009	10.4209	10.8245	15.8016	15.9315	14.6294	10.715433333333332	15.454166666666666
ACACB	1.19116	1.31419	1.38948	0.490694	0.503686	0.447936	1.2982766666666665	0.480772
ACAD10	3.99251	4.59805	4.65138	4.93178	4.72967	4.61347	4.41398	4.758306666666666
ACAD11	2.03654	1.82321	2.00759	1.87598	1.90383	1.9586	1.95578	1.9128033333333334
ACAD8	12.6638	14.9579	14.1718	13.5003	13.0752	12.4383	13.931166666666668	13.004599999999998
ACAD9	13.0015	13.527	13.0979	11.9732	11.423400000000001	10.6467	13.208800000000002	11.347766666666667
ACADM	59.4459	55.1994	52.1925	46.7847	44.6276	43.6634	55.61259999999999	45.02523333333334
ACADS	18.0709	17.4297	15.4994	10.4735	10.6538	11.3761	17.000000000000004	10.834466666666666
ACADSB	2.29021	2.23347	2.76026	2.99989	3.10775	2.83733	2.4279800000000002	2.9816566666666664
ACADVL	86.9723	94.4419	92.7438	116.555	112.424	110.324	91.38600000000001	113.101
ACAP1	1.76844	1.63516	1.80807	1.8111	1.55395	1.45501	1.7372233333333333	1.6066866666666666
ACAP2	17.6483	16.2517	18.271	13.9878	13.8733	14.232	17.390333333333334	14.031033333333333
ACAP3	7.03945	8.14681	7.70414	14.9579	14.6689	15.2571	7.630133333333333	14.961300000000001
ACAT1	63.0971	60.4977	58.4542	67.8584	60.2762	60.0122	60.68299999999999	62.7156
ACAT2	78.1912	76.9677	68.2422	152.948	143.544	140.53	74.46703333333333	145.674
ACBD3	18.9533	18.148	18.9767	19.3003	17.9512	17.9964	18.692666666666664	18.415966666666666
