name	sample1	sample2	sample3	sample4	sample5	sample6	avgCONTROL	avgTRT
DPM1	71.5510436963242	68.9888428548458	59.3507979052201	62.689508157374	63.0421413755614	61.6415898216041	66.63022815213004	62.45774645151317
SCYL3	2.46629962251339	2.26834774060545	2.23648331448115	2.49467607862221	2.64853655996588	2.51506851360705	2.3237102258666638	2.552760384065047
C1orf112	6.19372529217445	5.61791686332117	5.68024002079832	7.5202227094234	7.98223933991254	7.49539595041407	5.83062739209798	7.665952666583337
CFH	12.2806970941551	13.0423428592299	13.6111191494134	13.843497129052	13.4125499863953	12.2936088674449	12.978053034266132	13.183218660964068
FUCA2	46.8242647593087	45.853106296851	44.9223228602601	50.6375269302615	52.5038583686532	53.4654402524423	45.8665646388066	52.202275183785666
GCLC	4.48393764703395	3.97910657196285	3.75841837835268	3.44242208185464	3.55315621770283	3.177080735111	4.073820865783159	3.39088634488949
NFYA	16.9185525444876	15.9990771560926	17.9821176002741	19.1938714808206	18.7587809717434	17.7969532847515	16.9665824336181	18.583201912438497
STPG1	1.12696050851718	1.05511076390621	1.07867334739296	0.840620738316917	0.719222980320619	0.77897163976739	1.0869148732721168	0.7796051194683087
NIPAL3	2.7522319967833	2.50665942609157	2.48498209727505	2.13631442742591	2.10006737247613	2.61857444062658	2.5812911733833066	2.2849854135095398
LAS1L	23.8490332695318	21.061022941446	20.1262116364383	24.9262612054913	24.9587233843831	24.4118166272954	21.6787559491387	24.765600405723266
ANKIB1	4.75104587719611	4.22209944364991	4.80573984394421	5.85205872951623	6.17889711459922	6.6713018699865	4.592961721596743	6.23408590470065
CYP51A1	1.32664910085496	1.22735734889957	1.30882675411586	2.30405849587767	2.24831115428317	2.24729412015508	1.2876110679567967	2.2665545901053066
KRIT1	10.0430502937424	8.59429936938415	10.4706030260582	11.1077315499595	11.7176181837275	11.6617197632772	9.702650896394916	11.495689832321398
RAD52	1.42618011460999	1.0594274122772	1.40538413391312	1.4889604168322	1.47159614724006	1.28090771272899	1.29699722026677	1.4138214256004167
BAD	7.95552962021008	9.11124970739221	7.98113785613886	6.56808678383042	6.80156825002258	7.02390570397819	8.349305727913716	6.797853579277064
LAP3	24.0538190057574	24.1702076781991	22.0256712030093	26.9773721896041	26.1003563871215	25.4538893781139	23.416565962321936	26.1772059849465
CD99	15.1829756144106	16.7021081725034	17.0556837289937	15.07591348307	16.1227374059317	15.6378974610783	16.313589171969234	15.61218278336
MAD1L1	5.82771186140456	6.05501142380057	6.49645592497383	5.97694599544181	5.51869941692597	5.33454483073412	6.126393070059653	5.6100634143673
LASP1	44.6434513268339	49.9896760606345	47.693059248283	57.5279993969999	57.9126420762721	59.5479220307473	47.442062211917126	58.32952116800643
SNX11	7.86356168021592	8.61702884140056	8.29352848294597	7.19023619751153	7.54597129758361	7.7190106748582	8.258039668187482	7.4850727233177805
M6PR	23.8024496823209	23.4784143902851	25.141333890382	27.6103597461508	29.7045725055272	29.6035396055869	24.140732654329337	28.972823952421635
ICA1	8.98820706125939	8.86721500862542	8.73106689440736	6.37777974496721	6.69622272664963	7.18638518790303	8.86216298809739	6.75346255317329
DBNDD1	2.51838334566859	2.91803413713684	3.45499476385556	3.28531639081478	3.46928795050523	3.60229574192975	2.9638040822203298	3.4523000277499203
ALS2	2.78938669219442	2.97765186893357	3.31317651372585	2.77251550170962	2.99049929139201	3.09098464357311	3.026738358284613	2.9513331455582468
CASP10	2.35443831154146	2.15561759331512	2.07484173950939	2.26745085996146	2.32873180904452	2.22298962129272	2.1949658814553232	2.2730574300995667
CFLAR	3.78944934320298	3.6281611866908	4.0997065081203	4.50186513026257	5.16641622209246	5.19660602101702	3.839105679338027	4.954962457790684
TFPI	8.51304284065639	8.12343281065428	7.72249077129476	10.036121191898	10.2567356212562	10.470531934618	8.119655474201808	10.254462915924066
NDUFAF7	6.32798739528829	6.23288339336697	5.65136719502522	6.27074060044067	6.3393029304911	6.83121887622126	6.07074599456016	6.4804208023843435
RBM5	8.01763705914781	7.5491203208316104	8.08553545596195	7.93842918463454	7.93382064981081	8.19106238706187	7.884097611980457	8.021104073835739
ARF5	81.3719926360554	84.783806470113	80.912337233356	59.4999355934611	56.2394031056939	60.4076834422532	82.35604544650813	58.715674047136076
POLDIP2	64.8000837552873	61.0303379740041	64.3361312654685	66.573157933474	68.485696939844	67.2295670154962	63.388850998253304	67.42947396293808
PLXND1	2.56402831263276	2.56739260598524	2.95683559866987	4.03204177384866	4.25796203371558	4.392911634007	2.6960855057626234	4.227638480523747
AK2	90.9773510852878	87.9160027641452	85.3171539060169	93.0350348502412	89.5415849080668	95.8547670636814	88.07016925181664	92.81046227399646
FKBP4	15.8051782420681	15.5826994995616	15.744955153996	28.8169826328189	29.0513221170611	29.8336148460792	15.710944298541902	29.233973198653064
KDM1A	40.1696771757927	39.1849117130577	39.3540338152623	47.9056862546542	48.3311902336252	48.3385600924619	39.5695409013709	48.19181219358043
RBM6	12.3015240962771	12.1862652892735	12.8774973837204	13.5291228454507	13.8351003145177	13.7344970232887	12.455095589756999	13.699573394419033
CAMKK1	1.2970935664797	1.57385056906786	1.52390260481797	1.67298654474991	1.78748359561425	1.88527785104084	1.4649489134551767	1.781915997135
RECQL	18.6883391809106	18.5832836805933	19.2191931948252	15.7407083215756	15.9186665274849	15.0276538533847	18.830272018776366	15.562342900815066
VPS50	3.4261210991901	3.19500899407094	3.41839723401992	2.97865484838343	2.86877621707556	2.5880284536637	3.346509109093653	2.8118198397075633
