name	logFC	Pval	logPval	FDR
STUB1	0.369527066567991	1.83553954311763e-12	11.736236255032074	1.4580647998652e-11
LINC01003	0.369246667200803	6.10444584683649e-6	5.21435375458304	2.1940217992914e-5
P4HA2	0.369196161714768	0.00123954767374812	2.906736765348292	0.00294169576965931
ZMYND19	0.369032644258118	1.14496370934819e-7	6.941208278459115	5.35211774985633e-7
EBP	0.368896241735427	5.44433609208182e-12	11.264055072588627	4.12269440892086e-11
SLC25A32	0.368770865807084	2.9319944221338e-7	6.532836860237873	1.29522377151444e-6
LDB1	0.368442401071038	3.33902049310444e-14	13.476380915472475	3.10042640738357e-13
KLC1	0.368231468202527	1.08974286863694e-5	4.962675964358234	3.7375783798821e-5
PDCD7	0.368193370955162	3.58784942416249e-8	7.445165791834066	1.79843773022484e-7
TRMT61B	0.368092717481066	9.80652188988477e-4	3.0084849979075132	0.00236722805034977
WDCP	0.368032446963026	2.5470374787095e-6	5.593964664507539	9.71673970737042e-6
CHD7	0.367485625471644	5.04381805510641e-7	6.297240588056227	2.14395892795723e-6
TMEM11	0.367030985939952	1.47484465115856e-5	4.831253722531729	4.9510053505372e-5
DNAJC13	0.366314307621467	1.78776698381603e-4	3.7476890874627062	5.02002449595318e-4
PROSER2-AS1	0.366241514020271	1.60273685925987e-7	6.795137775183162	7.3447893253289e-7
MSRB1	0.36617159256441	0.0016441494551026	2.784058707126761	0.00380177604218378
TICRR	0.366012930068065	3.0684410929654002e-09	8.513082209758455	1.7344308873003e-8
ORMDL3	0.365946194811561	1.27006655269438e-5	4.8961735210041795	4.3135356924606e-5
PLCD3	0.365720835549663	5.73989043568366e-4	3.241096397433409	0.00146039670462566
AC139530.1	0.365572338719346	0.0016635218237345	2.778971497250646	0.00384019375384909
NR2F2-AS1	0.365337800741331	4.49781123103729e-4	3.346998775454227	0.00116735594609608
MED27	0.365332100617267	7.2037356881484e-6	5.1424422302340265	2.55645744420969e-5
UTP18	0.365233185065306	4.46154295105263e-10	9.35051492172643	2.78162951654937e-9
OTUD7B	0.365134610624564	6.55588295540585e-7	6.183368808651742	2.73681643760374e-6
GTF2IRD1	0.365088855870449	1.59142153373194e-6	5.798214769740011	6.26868020947787e-6
ATAD3A	0.365003403567786	1.21260038948223e-11	10.916282296607438	8.87322886381642e-11
SPIDR	0.364892957046862	2.47038981375552e-7	6.60723451208225	1.10096962622357e-6
SRRM1	0.364843629881836	1.17522706664612e-11	10.929878214869529	8.61292847923642e-11
OAF	0.36480131936778	0.00445931975858425	2.3507313851498997	0.00935283644103066
TCP1	0.364748293319507	1.01724205448665e-16	15.992575693665467	1.19080820184949e-15
PHLPP2	0.362954453991164	1.20712356114196e-4	3.918248273253421	3.48158315402946e-4
ANKIB1	0.362809278498196	4.01914715189202e-6	5.395866092816479	1.4887344446435e-5
JMJD4	0.362807827752714	6.90746017871138e-6	5.160681610098133	2.46136174177331e-5
IKZF4	0.362714263986271	8.82988578894262e-5	4.0540449138123265	2.61047999027658e-4
LGALS1	0.362675970720624	1.58120562807988e-8	7.801011648515959	8.250218563533e-8
CIAO1	0.362432060823477	2.52269114268453e-11	10.598135917630922	1.78718652508406e-10
CLASRP	0.362230431871642	3.29422131702525e-8	7.482247226801353	1.66170530991717e-7
SLC8B1	0.362203639909726	8.7274482121892e-5	4.059112719566455	2.58418930964017e-4
DPM2	0.361918696258807	1.33514346953249e-11	10.87447206412827	9.72529485347199e-11
SSB	0.361838065148334	8.0026285140274e-12	11.096767342802725	5.97013565586257e-11
DYNC1H1	0.361768597171927	2.09714897752015e-13	12.678370716975387	1.82337571100025e-12
ZFP36L1	0.361355684748102	5.50072317895371e-6	5.259580210145286	1.99200743973924e-5
RHOC	0.361259597328314	1.48900830175082e-12	11.82710288089489	1.19533971960795e-11
RARS	0.360756621017807	2.41156322697466e-13	12.617701347150254	2.07340826116307e-12
SPTB	0.36058022606552	1.66725029796047e-10	9.777999196294928	1.0876931684648e-9
FARSA	0.360368072779944	1.79613740747534e-12	11.745660442153333	1.42795163467116e-11
TUBD1	0.360259974704098	9.68838730808062e-5	4.013748507932714	2.84406802377173e-4
ZNF580	0.360253320756228	1.55814361845179e-5	4.807392514682395	5.20324216720422e-5
METRN	0.360199460300003	0.00147617752464459	2.830861411254527	0.00344765857037873
TM7SF2	0.360118076150511	4.36060884992481e-4	3.3604528681392205	0.00113575335078107
NDUFB2	0.359995346661495	4.02440958167822e-7	6.395297825663195	1.73064088305623e-6
EDC4	0.359511869739126	4.72449414186572e-12	11.325644685177418	3.60040334444652e-11
ALKBH8	0.359312208305214	0.00100193395116062	2.999160906804026	0.00241494362623491
GABBR1	0.359143588032136	0.00167989900485844	2.774716827173618	0.00387612884981088
