name	logFC	Pval	logPval	FDR
SSR2	-1.12084129356337	2.67479332893907e-75	74.57270976862175	3.11972236560649e-73
AL357060.3	-1.11906094803274	4.70030528043782e-15	14.32787393412727	4.67294383597789e-14
SMIM19	-1.10954496780236	2.85022753666289e-39	38.54512046842214	1.07321165986787e-37
AC104170.1	-1.1085972328609	2.17022851190463e-11	10.66349453516793	1.54665167569716e-10
ST6GALNAC1	-1.1059511095907	5.68979352378424e-59	58.24490349337789	3.9432742943096e-57
LINC00623	-1.10213558093389	5.75638669429839e-11	10.239850039342961	3.9521954303137e-10
CORO1A	-1.09856118069054	4.97554372799522e-17	16.30315945257355	5.96317045295066e-16
DLX2	-1.09160403114542	8.72789868940964e-13	12.059090303538609	7.17127345923658e-12
CCDC113	-1.08973357646602	1.14352299623327e-12	11.94175509731277	9.29987579589709e-12
SLC1A4	-1.08911861929863	1.7951774605192e-59	58.74589261320556	1.27178349869671e-57
TCAM1P	-1.08487229012289	1.34093324326922e-16	15.872592842432862	1.55450733801537e-15
RBCK1	-1.07888191521516	5.11065390060437e-44	43.29152352897377	2.27340901885489e-42
ANXA1	-1.07695854464392	9.24751179455717e-16	15.033975106099854	9.78354013309124e-15
CALCOCO2	-1.07418027628317	7.6186759944644e-72	71.11812049562351	7.75159757564442e-70
MYO18B	-1.07379294277163	5.30921222733246e-49	48.27496991407922	2.64465134073998e-47
PRSS16	-1.06804858474165	3.75989626633891e-23	22.424824136875014	6.94201696742574e-22
PPM1E	-1.06748268335542	2.61858304901108e-29	28.581933647786826	6.66067241509095e-28
SLC31A1	-1.0659110654464	3.65049592043528e-89	88.43764813256313	5.81889049717384e-87
EDF1	-1.06549103221587	4.22025484220827e-98	97.37466132315608	7.76202255978459e-96
SHMT2	-1.06231829485737	6.10824969294693e-117	116.2140832181689	1.46048250158361e-114
AAK1	-1.06170126150763	2.64927654797495e-56	55.57687270497543	1.6669526911074e-54
CARS	-1.05917735795908	3.02865701356311e-84	83.5187499064463	4.19798198227791e-82
FBXL13	-1.05865771179985	3.7433383018861e-43	42.42674092201646	1.61996776105152e-41
EFHD1	-1.05398664963375	1.10266596317139e-10	9.957556030916736	7.3439396042975e-10
CCDC28A	-1.05204151840103	7.13267735392043e-25	24.146747420810545	1.44527386044269e-23
CCDC26	-1.05143990966458	5.66046558008777e-39	38.247147846100205	2.09021979953511e-37
FPGT	-1.04337959061594	6.73764514156047e-20	19.171491866183704	1.01318927883466e-18
LZTFL1	-1.03821817249124	8.85945968091621e-36	35.05259276397661	2.94207890237092e-34
SESN2	-1.03793001196218	6.78665005652543e-13	12.168344543977561	5.61483746891083e-12
PMVK	-1.02565187546175	5.43721289155677e-12	11.264623662065743	4.1205629235221e-11
EMID1	-1.02318977297793	6.58367854716551e-12	11.181531382018193	4.94629235075341e-11
SUMF2	-1.02051942378393	2.685500207817e-70	69.57097480968068	2.59435595833957e-68
ERN1	-1.01917657614226	1.07319697264567e-37	36.96932056108874	3.82987158447133e-36
ZNF77	-1.013642486	6.94637463699341e-21	20.158241797703724	1.10725211713675e-19
NATD1	-1.00668208985244	4.890355924794e-17	16.310659531357203	5.8684271097528e-16
CTSF	-1.00605371327725	7.25632367875804e-10	9.139283353185657	4.41753530640623e-9
FNDC3B	-1.0026472361533	6.70323592840566e-48	47.17371549482356	3.2709055315955e-46
